"gene_id"	"SRR1039508"	"SRR1039509"	"SRR1039512"	"SRR1039513"	"SRR1039516"	"SRR1039517"	"SRR1039520"	"SRR1039521"
"7681"	"ENSG00000138081"	707	594	840	417	969	1120	638	719
"7682"	"ENSG00000138083"	0	0	2	0	0	0	0	0
"7683"	"ENSG00000138085"	1553	1397	1621	1068	1778	1794	1384	1542
"7684"	"ENSG00000138092"	125	83	166	62	118	128	118	62
"7685"	"ENSG00000138095"	2177	1749	2412	1330	2655	2795	2049	1746
"7686"	"ENSG00000138100"	1	0	0	1	1	1	2	0
"7687"	"ENSG00000138101"	112	74	131	40	148	107	76	67
"7688"	"ENSG00000138107"	2839	2971	3172	2003	3083	3681	2293	2771
"7689"	"ENSG00000138109"	0	1	0	0	0	0	0	0
"7690"	"ENSG00000138111"	86	83	95	54	95	91	71	85
"7691"	"ENSG00000138115"	1	1	2	1	0	2	2	0
"7692"	"ENSG00000138119"	11544	11206	15744	10210	19573	28431	14874	22327
"7693"	"ENSG00000138131"	645	462	1252	647	829	1047	867	854
"7694"	"ENSG00000138134"	178	119	278	73	441	738	270	144
"7695"	"ENSG00000138135"	54	13	69	7	79	47	46	15
"7696"	"ENSG00000138136"	0	0	0	0	0	0	0	0
"7697"	"ENSG00000138138"	914	867	1152	750	1235	1584	923	1058
"7698"	"ENSG00000138152"	0	0	0	0	0	1	1	0
"7699"	"ENSG00000138160"	218	117	270	87	154	153	157	121
"7700"	"ENSG00000138161"	26	16	32	12	12	14	14	23
"7701"	"ENSG00000138162"	103	116	176	93	192	212	208	166
"7702"	"ENSG00000138166"	211	342	298	417	322	1157	191	422
"7703"	"ENSG00000138172"	1217	1092	1291	727	1000	1198	1006	1314
"7704"	"ENSG00000138175"	506	509	641	362	660	744	436	468
"7705"	"ENSG00000138180"	47	61	46	33	46	54	42	31
"7706"	"ENSG00000138182"	181	142	196	105	234	177	198	128
"7707"	"ENSG00000138185"	1518	960	1720	898	1506	1427	1655	1176
"7708"	"ENSG00000138190"	264	224	369	299	321	658	383	329
"7709"	"ENSG00000138193"	230	280	410	288	222	338	334	530
"7710"	"ENSG00000138207"	8	13	5	3	3	5	11	17
"7711"	"ENSG00000138231"	269	255	304	161	264	371	251	220
"7712"	"ENSG00000138246"	3500	3043	5248	2750	4927	6624	4050	4002
"7713"	"ENSG00000138271"	1	1	2	0	0	2	0	0
"7714"	"ENSG00000138279"	1810	1455	2270	1428	1968	2138	1807	1787
"7715"	"ENSG00000138286"	606	458	881	405	723	794	575	493
"7716"	"ENSG00000138293"	4336	3458	4422	2604	5050	5017	3576	3511
"7717"	"ENSG00000138294"	0	1	0	1	0	0	0	0
"7718"	"ENSG00000138297"	708	707	818	530	870	1223	571	690
"7719"	"ENSG00000138303"	487	390	517	305	514	508	413	436
"7720"	"ENSG00000138308"	0	0	2	0	0	0	0	0
"7721"	"ENSG00000138311"	115	47	181	55	165	136	167	55
"7722"	"ENSG00000138315"	1	1	0	0	1	0	0	1
"7723"	"ENSG00000138316"	1327	207	1521	118	1962	618	1045	152
"7724"	"ENSG00000138326"	11020	10824	13637	6907	13717	14700	9763	9227
"7725"	"ENSG00000138336"	73	67	118	31	99	143	82	66
"7726"	"ENSG00000138346"	75	75	56	43	78	48	55	39
"7727"	"ENSG00000138347"	5	5	24	7	33	25	8	6
"7728"	"ENSG00000138356"	1394	5035	2462	3415	4869	10977	1791	7145
"7729"	"ENSG00000138363"	1088	1176	1319	775	1388	1732	930	965
"7730"	"ENSG00000138375"	673	484	806	367	798	808	610	508
"7731"	"ENSG00000138376"	113	97	99	53	75	163	72	86
"7732"	"ENSG00000138378"	3	3	9	3	16	24	15	9
"7733"	"ENSG00000138379"	8	17	129	132	129	741	45	59
"7734"	"ENSG00000138380"	278	163	376	149	295	218	268	193
"7735"	"ENSG00000138381"	747	749	1175	882	1221	1444	988	1196
"7736"	"ENSG00000138382"	343	381	290	267	387	522	223	362
"7737"	"ENSG00000138385"	1175	1736	1533	1425	1954	4580	1051	1845
"7738"	"ENSG00000138386"	715	405	582	227	681	687	493	395
"7739"	"ENSG00000138395"	72	66	165	42	228	182	94	102
"7740"	"ENSG00000138398"	1161	1052	1565	865	1782	1794	1307	1147
"7741"	"ENSG00000138399"	175	151	196	91	271	337	123	122
"7742"	"ENSG00000138400"	40	12	36	15	27	17	26	14
"7743"	"ENSG00000138411"	16	13	36	15	50	73	66	55
"7744"	"ENSG00000138413"	1903	1543	1899	1015	1522	1752	1390	1492
"7745"	"ENSG00000138430"	1030	826	1224	653	1124	1224	865	800
"7746"	"ENSG00000138433"	696	561	1045	539	1108	970	731	703
"7747"	"ENSG00000138434"	3697	2669	3514	2157	4125	4244	3552	3388
"7748"	"ENSG00000138435"	6	1	7	0	4	8	0	1
"7749"	"ENSG00000138439"	175	83	199	124	190	170	150	149
"7750"	"ENSG00000138442"	439	414	423	244	546	570	379	332
"7751"	"ENSG00000138443"	1127	743	1445	725	1367	1520	1022	851
"7752"	"ENSG00000138448"	4635	3772	6131	3828	5947	8422	5218	6235
"7753"	"ENSG00000138449"	4876	2966	7641	7602	7778	11526	6356	7625
"7754"	"ENSG00000138459"	830	852	1000	727	933	1344	657	890
"7755"	"ENSG00000138463"	332	262	342	272	441	549	286	407
"7756"	"ENSG00000138468"	381	189	553	186	476	311	368	255
"7757"	"ENSG00000138472"	0	0	0	0	0	0	0	0
"7758"	"ENSG00000138483"	1	6	1	8	0	14	1	7
"7759"	"ENSG00000138495"	124	128	173	114	171	182	125	149
"7760"	"ENSG00000138496"	1304	775	1245	542	1015	788	828	612
"7761"	"ENSG00000138587"	87	49	127	45	102	90	68	39
"7762"	"ENSG00000138592"	1173	1186	1456	849	1548	1814	1147	1177
"7763"	"ENSG00000138593"	1873	1644	2261	1300	2751	3400	1654	1872
"7764"	"ENSG00000138594"	1337	1065	1457	800	1480	1904	1117	1027
"7765"	"ENSG00000138600"	742	669	1037	731	732	1120	681	741
"7766"	"ENSG00000138604"	861	1344	1083	1327	1479	3062	901	1781
"7767"	"ENSG00000138606"	184	114	126	62	70	74	129	118
"7768"	"ENSG00000138613"	592	499	872	576	928	1026	566	684
"7769"	"ENSG00000138614"	560	447	649	363	580	683	460	523
"7770"	"ENSG00000138615"	285	905	691	963	470	939	564	1633
"7771"	"ENSG00000138617"	222	148	277	127	200	217	196	200
"7772"	"ENSG00000138621"	77	71	89	46	111	130	61	71
"7773"	"ENSG00000138622"	0	1	1	0	0	0	0	0
"7774"	"ENSG00000138623"	175	149	364	214	325	708	266	247
"7775"	"ENSG00000138629"	704	725	851	506	893	1061	610	746
"7776"	"ENSG00000138639"	491	354	340	201	558	608	487	446
"7777"	"ENSG00000138640"	729	719	799	504	1056	1177	685	847
"7778"	"ENSG00000138641"	526	592	585	538	551	650	577	953
"7779"	"ENSG00000138642"	228	147	278	134	202	169	185	143
"7780"	"ENSG00000138646"	175	67	94	38	36	20	112	62
"7781"	"ENSG00000138650"	328	278	338	106	31	46	137	66
"7782"	"ENSG00000138653"	0	0	0	0	0	0	0	0
"7783"	"ENSG00000138658"	94	43	96	21	93	58	82	48
"7784"	"ENSG00000138660"	291	250	246	178	276	314	202	302
"7785"	"ENSG00000138663"	688	561	782	482	768	815	645	503
"7786"	"ENSG00000138668"	1626	1507	2012	1250	1888	2263	1552	1397
"7787"	"ENSG00000138669"	312	136	243	26	551	200	434	123
"7788"	"ENSG00000138670"	0	3	1	0	3	3	0	0
"7789"	"ENSG00000138674"	10046	7643	10771	5163	11610	12648	8296	7542
"7790"	"ENSG00000138675"	1470	962	1507	795	2633	3591	1487	1030
"7791"	"ENSG00000138678"	69	137	103	101	64	228	77	175
"7792"	"ENSG00000138684"	0	0	0	0	0	0	0	0
"7793"	"ENSG00000138685"	1313	934	1743	802	1727	2034	1106	994
"7794"	"ENSG00000138686"	471	632	668	473	657	1142	507	714
"7795"	"ENSG00000138688"	4042	2820	4741	2439	5224	6342	4508	4418
"7796"	"ENSG00000138696"	23	54	39	45	42	76	30	47
"7797"	"ENSG00000138698"	880	873	1355	812	1296	1693	949	1013
"7798"	"ENSG00000138709"	203	224	230	175	273	392	211	261
"7799"	"ENSG00000138722"	1	0	1	1	0	0	1	2
"7800"	"ENSG00000138735"	8227	3062	14439	4044	8897	4920	9275	3709
"7801"	"ENSG00000138738"	280	245	393	161	292	365	386	320
"7802"	"ENSG00000138741"	9	6	8	7	36	45	12	15
"7803"	"ENSG00000138744"	114	121	241	239	163	248	250	474
"7804"	"ENSG00000138750"	617	558	712	442	781	901	546	570
"7805"	"ENSG00000138755"	1	2	0	0	0	0	0	0
"7806"	"ENSG00000138756"	587	391	1090	251	955	938	474	346
"7807"	"ENSG00000138757"	2867	2303	3175	1983	3670	4626	2607	2681
"7808"	"ENSG00000138758"	18635	19207	25826	12698	27589	43048	23129	22971
"7809"	"ENSG00000138759"	8	33	50	17	6	14	15	23
"7810"	"ENSG00000138760"	8532	7328	11189	6762	11428	12811	9801	9840
"7811"	"ENSG00000138764"	1735	1227	1380	935	1649	1407	1310	1600
"7812"	"ENSG00000138767"	499	450	471	298	507	584	445	490
"7813"	"ENSG00000138768"	2503	2168	2640	1937	2763	4245	2084	2358
"7814"	"ENSG00000138769"	9	4	10	3	11	5	10	13
"7815"	"ENSG00000138771"	876	727	992	706	979	2578	1054	1641
"7816"	"ENSG00000138772"	28	32	161	80	56	93	40	57
"7817"	"ENSG00000138777"	487	408	533	356	512	614	400	365
"7818"	"ENSG00000138778"	166	151	259	103	208	163	195	168
"7819"	"ENSG00000138780"	173	130	172	107	221	194	151	123
"7820"	"ENSG00000138785"	163	173	212	112	200	247	129	154
"7821"	"ENSG00000138792"	8	19	3	4	30	49	28	41
"7822"	"ENSG00000138794"	183	132	171	103	199	167	139	145
"7823"	"ENSG00000138795"	239	224	156	115	26	22	82	131
"7824"	"ENSG00000138796"	621	518	587	420	587	589	508	543
"7825"	"ENSG00000138798"	0	0	3	2	2	2	6	1
"7826"	"ENSG00000138801"	1445	1134	1414	750	1240	1343	993	996
"7827"	"ENSG00000138802"	1073	1180	1149	1002	1328	1833	874	1561
"7828"	"ENSG00000138813"	0	2	1	0	0	0	0	1
"7829"	"ENSG00000138814"	1433	1316	1421	806	1613	1770	1123	1145
"7830"	"ENSG00000138821"	343	289	563	293	259	343	275	339
"7831"	"ENSG00000138823"	1	3	3	2	1	2	2	7
"7832"	"ENSG00000138829"	6648	16309	4467	7293	11865	76824	3457	16533
"7833"	"ENSG00000138834"	1549	1191	1740	695	1782	1669	1343	1316
"7834"	"ENSG00000138835"	930	722	1118	581	1024	1277	912	828
"7835"	"ENSG00000138867"	1728	1763	1967	1170	1998	2398	1401	1840
"7836"	"ENSG00000138892"	0	0	0	0	0	0	0	0
"7837"	"ENSG00000138942"	988	966	1130	741	1050	1833	979	1113
"7838"	"ENSG00000138944"	398	108	270	40	654	469	192	44
"7839"	"ENSG00000138964"	1	0	0	0	0	1	0	0
"7840"	"ENSG00000139044"	1	0	0	0	0	1	1	0
"7841"	"ENSG00000139053"	0	0	0	0	0	0	0	0
"7842"	"ENSG00000139055"	2	3	8	25	10	36	9	44
"7843"	"ENSG00000139083"	462	485	682	358	635	953	444	481
"7844"	"ENSG00000139112"	4147	5149	7978	5547	6812	10892	4451	7009
"7845"	"ENSG00000139116"	87	68	85	29	111	135	61	50
"7846"	"ENSG00000139117"	201	165	242	121	208	199	181	192
"7847"	"ENSG00000139131"	212	198	278	119	239	328	164	167
"7848"	"ENSG00000139132"	380	1461	461	1303	496	2366	473	2668
"7849"	"ENSG00000139133"	31	30	44	16	36	48	31	29
"7850"	"ENSG00000139144"	0	0	0	0	0	0	0	0
"7851"	"ENSG00000139146"	119	130	104	82	134	205	79	114
"7852"	"ENSG00000139151"	0	0	0	0	0	0	0	0
"7853"	"ENSG00000139154"	729	550	776	377	861	861	705	554
"7854"	"ENSG00000139155"	0	0	1	0	3	3	0	0
"7855"	"ENSG00000139160"	95	51	125	71	96	113	84	79
"7856"	"ENSG00000139163"	628	658	567	528	629	777	471	623
"7857"	"ENSG00000139168"	703	628	863	443	891	933	721	698
"7858"	"ENSG00000139173"	217	106	259	106	228	183	198	131
"7859"	"ENSG00000139174"	216	163	309	188	212	344	203	223
"7860"	"ENSG00000139178"	1628	1559	2366	1714	1679	2173	1396	1859
"7861"	"ENSG00000139180"	124	105	93	63	77	120	109	102
"7862"	"ENSG00000139182"	483	450	883	419	670	556	490	428
"7863"	"ENSG00000139187"	23	3	14	5	8	15	14	8
"7864"	"ENSG00000139190"	328	339	471	333	486	490	423	465
"7865"	"ENSG00000139192"	305	215	272	122	359	341	223	190
"7866"	"ENSG00000139193"	5	6	18	8	14	9	8	9
"7867"	"ENSG00000139194"	84	78	144	58	97	94	67	83
"7868"	"ENSG00000139197"	919	786	871	533	824	932	718	775
"7869"	"ENSG00000139200"	282	399	568	422	654	742	323	490
"7870"	"ENSG00000139209"	137	89	203	141	367	686	158	159
"7871"	"ENSG00000139211"	178	225	190	114	178	353	261	278
"7872"	"ENSG00000139218"	1708	1410	2034	1186	2322	3266	1485	1623
"7873"	"ENSG00000139219"	0	1	0	0	0	0	0	0
"7874"	"ENSG00000139220"	52	62	31	64	74	159	30	61
"7875"	"ENSG00000139223"	0	0	0	0	0	0	0	0
"7876"	"ENSG00000139233"	209	199	196	148	208	344	143	197
"7877"	"ENSG00000139239"	2058	2019	2651	1074	2802	2837	1620	1598
"7878"	"ENSG00000139263"	2236	1789	2325	1069	3134	2539	1867	1561
"7879"	"ENSG00000139266"	203	223	166	101	217	238	146	159
"7880"	"ENSG00000139269"	27	7	36	7	33	9	18	5
"7881"	"ENSG00000139278"	1230	1199	2173	1053	1895	2702	1692	1266
"7882"	"ENSG00000139287"	0	1	0	1	0	2	1	0
"7883"	"ENSG00000139289"	2864	1247	2799	804	3067	1932	2528	1241
"7884"	"ENSG00000139291"	462	534	418	545	442	809	386	586
"7885"	"ENSG00000139292"	0	9	2	13	0	6	2	1
"7886"	"ENSG00000139304"	94	80	368	129	120	211	60	56
"7887"	"ENSG00000139318"	145	72	191	84	170	559	188	124
"7888"	"ENSG00000139323"	225	190	254	170	270	310	202	277
"7889"	"ENSG00000139324"	959	701	1244	835	1435	1496	919	1008
"7890"	"ENSG00000139329"	11239	4454	21296	7613	23489	14961	19908	11255
"7891"	"ENSG00000139330"	1	0	1	0	1	0	1	0
"7892"	"ENSG00000139343"	283	211	283	153	259	331	226	170
"7893"	"ENSG00000139344"	11	12	11	7	13	4	15	9
"7894"	"ENSG00000139350"	436	363	499	301	530	663	440	500
"7895"	"ENSG00000139351"	6	3	13	2	4	9	9	8
"7896"	"ENSG00000139352"	0	0	0	0	0	0	0	0
"7897"	"ENSG00000139354"	190	94	142	45	251	95	150	68
"7898"	"ENSG00000139364"	38	22	112	50	84	89	121	79
"7899"	"ENSG00000139370"	526	466	522	383	625	888	481	552
"7900"	"ENSG00000139372"	330	272	346	217	412	494	283	284
"7901"	"ENSG00000139405"	181	146	179	105	207	263	159	139
"7902"	"ENSG00000139410"	97	48	103	31	99	75	57	29
"7903"	"ENSG00000139428"	138	78	172	64	118	114	91	60
"7904"	"ENSG00000139433"	817	873	1231	697	1293	1782	839	1049
"7905"	"ENSG00000139436"	736	816	1020	799	880	1574	691	1112
"7906"	"ENSG00000139437"	358	409	459	306	380	661	292	381
"7907"	"ENSG00000139438"	4	5	14	4	2	6	7	1
"7908"	"ENSG00000139445"	0	0	0	0	0	0	0	0
"7909"	"ENSG00000139496"	665	645	622	426	835	1243	546	602
"7910"	"ENSG00000139505"	843	731	844	567	1010	1060	750	743
"7911"	"ENSG00000139508"	223	156	292	174	269	284	217	199
"7912"	"ENSG00000139514"	585	459	737	317	619	856	600	530
"7913"	"ENSG00000139515"	0	0	0	0	0	0	0	0
"7914"	"ENSG00000139517"	142	129	177	98	149	140	116	128
"7915"	"ENSG00000139531"	368	346	464	205	383	321	306	256
"7916"	"ENSG00000139537"	19	21	28	18	22	44	26	26
"7917"	"ENSG00000139540"	2	2	0	1	0	2	0	4
"7918"	"ENSG00000139546"	349	405	392	225	344	473	240	331
"7919"	"ENSG00000139547"	3	1	3	0	3	3	4	2
"7920"	"ENSG00000139549"	0	0	0	0	0	0	0	0
"7921"	"ENSG00000139567"	770	1271	736	711	621	1334	535	993
"7922"	"ENSG00000139572"	0	0	0	0	0	0	0	0
"7923"	"ENSG00000139574"	0	0	0	0	0	0	0	0
"7924"	"ENSG00000139579"	393	380	405	237	413	483	335	336
"7925"	"ENSG00000139597"	143	118	243	207	215	174	153	246
"7926"	"ENSG00000139610"	0	0	6	1	3	1	1	0
"7927"	"ENSG00000139613"	2350	1879	2797	1425	3248	3267	1971	2042
"7928"	"ENSG00000139618"	67	54	79	30	66	55	96	40
"7929"	"ENSG00000139620"	342	277	396	244	438	462	311	318
"7930"	"ENSG00000139624"	508	648	704	545	660	1169	545	704
"7931"	"ENSG00000139625"	1619	1281	1929	879	1760	1538	1528	1460
"7932"	"ENSG00000139626"	13	7	27	11	19	9	11	20
"7933"	"ENSG00000139629"	89	56	265	133	286	271	125	64
"7934"	"ENSG00000139631"	326	261	386	203	356	312	324	291
"7935"	"ENSG00000139636"	580	598	673	452	648	886	564	782
"7936"	"ENSG00000139637"	390	341	420	229	412	512	330	352
"7937"	"ENSG00000139641"	3427	2755	3568	2138	3586	4556	2611	2723
"7938"	"ENSG00000139644"	9228	10197	12910	8896	11946	17395	8455	10905
"7939"	"ENSG00000139645"	1476	1440	1699	988	2094	2614	1343	1498
"7940"	"ENSG00000139648"	0	0	0	0	0	0	0	0
"7941"	"ENSG00000139651"	890	773	856	557	876	955	669	733
"7942"	"ENSG00000139656"	0	0	0	1	0	2	0	0
"7943"	"ENSG00000139668"	144	107	156	52	186	212	163	100
"7944"	"ENSG00000139675"	1495	1402	1276	928	923	1385	968	1077
"7945"	"ENSG00000139679"	191	184	196	155	221	276	157	195
"7946"	"ENSG00000139684"	1866	1761	2229	1379	2339	2850	1745	1856
"7947"	"ENSG00000139687"	1069	1193	1258	928	1250	1685	967	1290
"7948"	"ENSG00000139697"	1258	1046	1421	780	1357	1670	1131	1189
"7949"	"ENSG00000139714"	15	19	59	19	37	43	19	25
"7950"	"ENSG00000139718"	934	948	1074	675	1024	1377	805	1075
"7951"	"ENSG00000139719"	207	173	236	154	239	280	195	179
"7952"	"ENSG00000139722"	473	360	400	226	444	512	356	332
"7953"	"ENSG00000139725"	12	20	7	7	11	13	12	19
"7954"	"ENSG00000139726"	1098	948	1279	757	1432	1776	1000	980
"7955"	"ENSG00000139734"	100	152	204	142	133	209	154	260
"7956"	"ENSG00000139737"	5	2	0	0	1	2	0	1
"7957"	"ENSG00000139746"	831	627	1021	483	1177	1288	774	682
"7958"	"ENSG00000139767"	1	1	0	0	1	0	1	0
"7959"	"ENSG00000139780"	3	1	3	2	0	2	3	8
"7960"	"ENSG00000139793"	1376	1606	1500	1365	1561	2476	1447	2137
"7961"	"ENSG00000139797"	0	0	0	0	0	0	0	0
"7962"	"ENSG00000139800"	0	0	0	0	0	0	0	0
"7963"	"ENSG00000139826"	332	348	360	324	338	521	309	346
"7964"	"ENSG00000139832"	100	118	82	53	94	194	52	76
"7965"	"ENSG00000139835"	61	64	62	43	38	64	25	37
"7966"	"ENSG00000139842"	1947	1955	2279	1450	2356	3113	1907	2132
"7967"	"ENSG00000139865"	3	1	4	0	3	0	0	0
"7968"	"ENSG00000139874"	308	333	290	96	242	368	248	155
"7969"	"ENSG00000139880"	189	96	220	81	313	188	147	104
"7970"	"ENSG00000139890"	1	1	6	2	6	10	9	12
"7971"	"ENSG00000139899"	295	245	238	119	208	252	339	233
"7972"	"ENSG00000139908"	36	31	59	19	52	50	28	23
"7973"	"ENSG00000139910"	298	210	365	148	511	335	415	264
"7974"	"ENSG00000139914"	3	0	1	0	0	1	0	1
"7975"	"ENSG00000139915"	0	0	0	0	0	0	0	0
"7976"	"ENSG00000139921"	1334	1294	981	870	994	1435	910	1012
"7977"	"ENSG00000139926"	6314	4320	6749	4065	7928	8765	5579	5743
"7978"	"ENSG00000139946"	478	205	478	209	618	446	464	316
"7979"	"ENSG00000139970"	12	10	203	115	68	91	6	14
"7980"	"ENSG00000139971"	185	66	141	61	97	95	133	108
"7981"	"ENSG00000139973"	3	2	7	3	3	6	1	0
"7982"	"ENSG00000139974"	407	293	438	243	502	457	368	328
"7983"	"ENSG00000139977"	559	479	636	455	650	791	501	587
"7984"	"ENSG00000139985"	21	8	19	15	13	17	17	10
"7985"	"ENSG00000139988"	1	0	2	0	5	0	1	1
"7986"	"ENSG00000139990"	1248	1010	1581	753	1648	1403	1240	1181
"7987"	"ENSG00000139998"	220	151	331	177	425	447	222	216
"7988"	"ENSG00000140006"	68	59	63	31	70	90	66	54
"7989"	"ENSG00000140009"	2	1	5	3	6	9	1	2
"7990"	"ENSG00000140015"	5	5	35	2	1	2	16	3
"7991"	"ENSG00000140022"	570	258	489	167	156	54	221	123
"7992"	"ENSG00000140025"	113	62	115	56	91	68	80	64
"7993"	"ENSG00000140030"	1	2	1	1	0	11	0	1
"7994"	"ENSG00000140043"	93	75	134	55	95	86	99	96
"7995"	"ENSG00000140044"	1459	1303	1964	707	1455	1440	1441	1103
"7996"	"ENSG00000140057"	6	9	11	3	4	8	5	8
"7997"	"ENSG00000140067"	0	0	0	0	0	0	0	0
"7998"	"ENSG00000140090"	2	0	4	2	0	0	0	0
"7999"	"ENSG00000140092"	7882	8446	10386	6709	10535	16126	7324	10278
"8000"	"ENSG00000140093"	3	0	1	1	3	4	0	2
"8001"	"ENSG00000140104"	194	129	270	136	202	214	202	145
"8002"	"ENSG00000140105"	3424	1369	4642	1136	2757	1569	4294	1249
"8003"	"ENSG00000140107"	0	0	0	0	0	0	0	0
"8004"	"ENSG00000140153"	344	265	342	247	429	504	296	324
"8005"	"ENSG00000140157"	610	616	710	415	659	946	535	583
"8006"	"ENSG00000140181"	3085	2818	2600	1104	3152	3979	2388	2511
"8007"	"ENSG00000140199"	683	446	939	469	817	909	732	831
"8008"	"ENSG00000140254"	0	1	1	1	1	1	1	1
"8009"	"ENSG00000140259"	848	639	1056	513	1086	1314	735	609
"8010"	"ENSG00000140262"	2895	2689	3162	1902	3561	3866	2594	2959
"8011"	"ENSG00000140263"	256	202	233	110	400	358	181	181
"8012"	"ENSG00000140264"	3168	2687	2871	1780	2470	3355	2718	2509
"8013"	"ENSG00000140265"	554	366	658	294	641	684	507	442
"8014"	"ENSG00000140274"	0	0	0	1	0	2	0	2
"8015"	"ENSG00000140279"	0	0	3	2	0	1	0	0
"8016"	"ENSG00000140280"	84	68	52	44	57	78	61	56
"8017"	"ENSG00000140284"	1	2	4	0	2	0	1	1
"8018"	"ENSG00000140285"	9630	7614	9730	6180	11958	11083	10219	8134
"8019"	"ENSG00000140287"	1	0	0	0	2	0	0	0
"8020"	"ENSG00000140297"	7	0	3	2	7	2	4	1
"8021"	"ENSG00000140299"	1510	1585	1823	1413	1884	2436	1419	1793
"8022"	"ENSG00000140307"	547	521	580	375	652	742	371	398
"8023"	"ENSG00000140319"	4382	3760	5060	3021	5265	6263	3492	3649
"8024"	"ENSG00000140320"	553	497	484	310	484	627	444	520
"8025"	"ENSG00000140323"	17	5	76	30	31	50	65	43
"8026"	"ENSG00000140326"	366	264	378	191	466	437	344	309
"8027"	"ENSG00000140332"	538	379	550	238	525	487	572	371
"8028"	"ENSG00000140350"	802	609	997	391	1117	1002	666	447
"8029"	"ENSG00000140365"	776	695	800	451	765	1030	604	624
"8030"	"ENSG00000140367"	1173	1089	1182	883	1338	1731	1000	1171
"8031"	"ENSG00000140368"	7	5	27	11	21	50	5	10
"8032"	"ENSG00000140374"	1093	1231	1333	1066	1392	1842	1101	1343
"8033"	"ENSG00000140379"	12	7	15	6	47	23	26	22
"8034"	"ENSG00000140382"	729	683	905	584	966	1307	654	774
"8035"	"ENSG00000140386"	321	250	393	228	311	350	247	326
"8036"	"ENSG00000140391"	3753	3611	5957	3352	5964	7799	3987	4242
"8037"	"ENSG00000140395"	540	424	599	307	489	657	440	407
"8038"	"ENSG00000140396"	1446	1202	1882	925	1517	1821	1435	1499
"8039"	"ENSG00000140398"	181	247	151	131	119	180	184	225
"8040"	"ENSG00000140400"	2017	1861	1883	903	1448	1974	1607	1757
"8041"	"ENSG00000140403"	73	76	116	79	35	43	84	118
"8042"	"ENSG00000140406"	224	303	210	143	217	302	188	292
"8043"	"ENSG00000140416"	2431	3357	4383	3029	3733	9851	3307	3737
"8044"	"ENSG00000140443"	4081	4504	4391	3820	4102	6761	3264	5872
"8045"	"ENSG00000140450"	1667	778	1849	748	1673	1355	1579	825
"8046"	"ENSG00000140451"	117	149	167	82	153	210	97	119
"8047"	"ENSG00000140455"	309	199	327	141	369	278	266	197
"8048"	"ENSG00000140459"	16	14	29	39	30	38	22	47
"8049"	"ENSG00000140463"	628	504	885	597	814	821	681	710
"8050"	"ENSG00000140464"	1465	1357	1581	1025	1369	2485	1205	1442
"8051"	"ENSG00000140465"	0	18	0	0	2	4	0	0
"8052"	"ENSG00000140470"	4	16	4	3	4	5	0	2
"8053"	"ENSG00000140471"	114	107	156	63	144	157	128	98
"8054"	"ENSG00000140474"	355	448	274	213	336	469	294	350
"8055"	"ENSG00000140478"	0	0	3	0	1	0	3	1
"8056"	"ENSG00000140479"	13	25	186	47	7	23	61	78
"8057"	"ENSG00000140481"	0	0	0	0	0	0	0	0
"8058"	"ENSG00000140488"	0	0	0	0	0	0	0	0
"8059"	"ENSG00000140497"	1195	1170	1438	994	1287	2139	1130	1434
"8060"	"ENSG00000140505"	0	0	0	0	1	0	0	0
"8061"	"ENSG00000140506"	0	1	0	0	0	0	0	0
"8062"	"ENSG00000140511"	45	171	174	184	52	295	88	155
"8063"	"ENSG00000140519"	0	2	0	1	1	1	0	1
"8064"	"ENSG00000140521"	789	845	843	447	968	1337	659	836
"8065"	"ENSG00000140522"	0	0	0	0	1	0	0	0
"8066"	"ENSG00000140525"	217	208	215	145	222	281	211	251
"8067"	"ENSG00000140526"	1410	1290	1584	1246	1387	2634	1583	2268
"8068"	"ENSG00000140527"	3	1	6	4	0	0	9	1
"8069"	"ENSG00000140534"	31	26	58	18	58	102	54	39
"8070"	"ENSG00000140538"	11	2	1	2	8	11	2	2
"8071"	"ENSG00000140543"	176	77	215	72	193	212	120	90
"8072"	"ENSG00000140545"	4446	9946	6783	7837	8540	19192	5649	12849
"8073"	"ENSG00000140548"	243	239	296	118	359	505	243	220
"8074"	"ENSG00000140553"	1792	1667	1783	1036	1705	2110	1187	1578
"8075"	"ENSG00000140557"	0	0	0	0	0	0	0	0
"8076"	"ENSG00000140563"	99	52	200	77	106	169	125	142
"8077"	"ENSG00000140564"	2104	2393	2144	1764	2853	4308	1790	3046
"8078"	"ENSG00000140575"	6535	6105	7574	4873	7969	11468	6319	7561
"8079"	"ENSG00000140577"	1206	1123	1346	781	1694	1905	931	1036
"8080"	"ENSG00000140598"	422	268	595	271	549	579	491	377
"8081"	"ENSG00000140600"	36	6	10	0	14	2	21	3
"8082"	"ENSG00000140612"	2368	2297	2616	1606	2590	3109	1934	2063
"8083"	"ENSG00000140623"	0	0	0	0	0	1	0	0
"8084"	"ENSG00000140632"	1058	981	1322	578	1436	1773	919	901
"8085"	"ENSG00000140650"	125	132	174	116	216	338	147	161
"8086"	"ENSG00000140675"	2	2	2	0	4	10	1	5
"8087"	"ENSG00000140678"	0	0	0	0	0	0	1	0
"8088"	"ENSG00000140682"	1512	2123	1797	1374	1468	3469	1390	1851
"8089"	"ENSG00000140688"	733	614	847	401	834	1151	615	736
"8090"	"ENSG00000140691"	189	147	207	97	169	241	186	178
"8091"	"ENSG00000140694"	864	824	1021	668	1025	1280	764	885
